epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,359.018,0.54333,0.83662,0.36696,0.85489,0.83357,0.754,0.783,0.57146,0.83862,0.75749,0.78617,0.54579,0.97249,2.05693,1.00864,1.08165,0.000563187,0.000563187,0.000563187
113,362.036,0.5216,0.81546,0.36076,0.85107,0.90918,0.67685,0.79134,0.58574,0.91229,0.67864,0.79313,0.54865,0.99017,2.05517,1.00468,1.09978,0.000557,0.000557,0.000557
114,365.134,0.54183,0.86985,0.3673,0.84993,0.68107,0.76369,0.72321,0.56209,0.91354,0.70515,0.79609,0.52787,1.00711,2.22536,0.94778,1.10851,0.000550813,0.000550813,0.000550813
115,368.267,0.53545,0.82001,0.35786,0.841,0.68136,0.82544,0.72898,0.55158,0.68136,0.82544,0.73185,0.50512,1.01159,2.32485,0.9164,1.09678,0.000544625,0.000544625,0.000544625
116,371.352,0.55684,0.87848,0.37272,0.86072,0.69144,0.81033,0.75842,0.57616,0.69393,0.81189,0.76094,0.4953,1.0266,2.41473,0.91237,1.10013,0.000538438,0.000538438,0.000538438
117,374.366,0.54743,0.87492,0.37403,0.85507,0.69166,0.82223,0.74078,0.55899,0.69325,0.82409,0.74114,0.50745,1.04905,2.42751,0.88519,1.12423,0.00053225,0.00053225,0.00053225
118,377.444,0.51437,0.8089,0.34566,0.84397,0.71951,0.79187,0.74411,0.56696,0.71674,0.78817,0.73992,0.53284,1.02392,2.38729,0.89001,1.10569,0.000526063,0.000526063,0.000526063
119,380.561,0.51949,0.8096,0.35884,0.84583,0.79121,0.77053,0.76786,0.57841,0.7459,0.71879,0.73237,0.52068,0.98826,2.26554,0.88673,1.10566,0.000519875,0.000519875,0.000519875
120,383.675,0.52567,0.81804,0.35161,0.85093,0.77562,0.69332,0.72034,0.5525,0.77562,0.69332,0.7204,0.50936,0.99151,2.1489,0.84999,1.10554,0.000513688,0.000513688,0.000513688
121,386.699,0.52196,0.81628,0.34639,0.84292,0.74898,0.70108,0.73331,0.55091,0.74754,0.69887,0.73168,0.50464,1.01751,2.29542,0.84755,1.1028,0.0005075,0.0005075,0.0005075
